frequency,magnitude,phase
56234132.5,-54.3973746,-337.826087
63095734.4,-53.2386377,-343.956902
70794578.4,-52.4414499,-348.605858
79432823.5,-51.8977225,-352.367324
89125093.8,-51.5394001,-355.526059
100000000,-51.32147,-358.227543
112201845,-51.2123653,-360.547201
125892541,-51.188465,-362.523137
141253754,-51.2308766,-364.174089
158489319,-51.3235872,-365.510662
177827941,-51.4525023,-366.542854
199526231,-51.6050741,-367.2849
223872114,-51.7702917,-367.757773
251188643,-51.9388418,-367.989563
281838293,-52.1032779,-368.014158
316227766,-52.2580918,-367.868842
354813389,-52.3996389,-367.591511
398107171,-52.525926,-367.218127
446683592,-52.6363047,-366.780805
501187234,-52.7311282,-366.306692
562341325,-52.8114226,-365.817594
630957344,-52.8786044,-365.330161
707945784,-52.9342616,-364.856456
794328235,-52.9799983,-364.404685
891250938,-53.0173343,-363.979972
1000000000,-53.0476488,-363.585078
