frequency,Tmag,Tphase
501187234,-68.6194602,-314.262244
562341325,-68.9134566,-318.460085
630957344,-69.1622635,-322.385761
707945784,-69.370749,-326.030637
794328235,-69.543916,-329.392919
891250938,-69.6866485,-332.476799
1000000000,-69.8035241,-335.291324
1122018450,-69.8986963,-337.849178
1258925410,-69.9758358,-340.165522
1412537540,-70.0381192,-342.256982
1584893190,-70.088249,-344.140832
1778279410,-70.128493,-345.834353
1995262310,-70.1607333,-347.354385
2238721140,-70.1865186,-348.717005
2511886430,-70.2071134,-349.937341
2818382930,-70.2235453,-351.029459
3162277660,-70.236645,-352.006327
3548133890,-70.2470819,-352.879817
3981071710,-70.2553939,-353.660741
4466835920,-70.2620123,-354.358907
5011872340,-70.2672822,-354.983186
5623413250,-70.2714797,-355.541579
6309573440,-70.2748255,-356.041297
7079457840,-70.2774959,-356.488829
7943282350,-70.2796321,-356.890014
8912509380,-70.2813469,-357.250103
10000000000,-70.2827313,-357.573825
11220184500,-70.2838587,-357.865437
12589254100,-70.2847889,-358.128784
14125375400,-70.2855714,-358.367342
15848931900,-70.2862477,-358.584261
17782794100,-70.2868539,-358.782409
19952623100,-70.2874222,-358.964406
22387211400,-70.2879827,-359.132658
25118864300,-70.2885654,-359.28939
28183829300,-70.2892011,-359.436671
31622776600,-70.2899237,-359.576443
35481338900,-70.2907716,-359.710542
39810717100,-70.2917897,-359.840726
44668359200,-70.293032,-359.96869
50118723400,-70.2945644,-360.096087
56234132500,-70.2964677,-360.224543
63095734400,-70.2988423,-360.355675
70794578400,-70.3018132,-360.491098
79432823500,-70.305536,-360.632432
89125093800,-70.3102052,-360.781303
100000000000,-70.3160631,-360.939337
112201845000,-70.323412,-361.108137
125892541000,-70.3326276,-361.289251
141253754000,-70.3441762,-361.484109
158489319000,-70.3586341,-361.693931
177827941000,-70.3767101,-361.919592
199526231000,-70.3992706,-362.161423
223872114000,-70.4273657,-362.418925
251188643000,-70.4622541,-362.690384
281838293000,-70.5054224,-362.972331
316227766000,-70.5585919,-363.258842
354813389000,-70.6236997,-363.540621
398107171000,-70.7028404,-363.803873
446683592000,-70.798141,-364.028969
501187234000,-70.9115417,-364.189007
562341325000,-71.0444456,-364.248439
630957344000,-71.1972024,-364.162136
707945784000,-71.3684015,-363.875461
794328235000,-71.5539842,-363.32621
891250938000,-71.7462499,-362.449544
1000000000000,-71.9329642,-361.187212
