frequency,db(v(Vout)),180*cph(v(Vout))/pi
89125093.8,-57.7817904,-56.3932249
100000000,-58.9135157,-61.9180202
112201845,-59.9824709,-67.4172242
125892541,-60.9905324,-72.896859
141253754,-61.9399042,-78.3635141
158489319,-62.8326083,-83.821609
177827941,-63.6700732,-89.2710394
199526231,-64.4528999,-94.7055334
223872114,-65.1808509,-100.11183
251188643,-65.8530587,-105.469664
281838293,-66.4684018,-110.752491
316227766,-67.02596,-115.928906
354813389,-67.5254506,-120.964645
398107171,-67.9675548,-125.824997
446683592,-68.3540811,-130.477328
501187234,-68.687949,-134.893364
562341325,-68.9730206,-139.050932
630957344,-69.213834,-142.934938
707945784,-69.4152972,-146.537577
794328235,-69.5823985,-149.857864
891250938,-69.7199675,-152.900705
1000000000,-69.8325018,-155.675717
