i(VIout),v(V1),v(V2),v(Vout)
-3.52475443E-07,0.30138,0.5,0.6
-3.52475318E-07,0.30139,0.5,0.6
-3.52475233E-07,0.3014,0.5,0.6
-3.52475091E-07,0.30141,0.5,0.6
-3.5247503E-07,0.30142,0.5,0.6
-3.52474906E-07,0.30143,0.5,0.6
-3.52474782E-07,0.30144,0.5,0.6
-3.524747E-07,0.30145,0.5,0.6
-3.5247454E-07,0.30146,0.5,0.6
-3.52474416E-07,0.30147,0.5,0.6
-3.52474348E-07,0.30148,0.5,0.6
-3.52474242E-07,0.30149,0.5,0.6
-3.52474053E-07,0.3015,0.5,0.6
-3.52473993E-07,0.30151,0.5,0.6
-3.52473897E-07,0.30152,0.5,0.6
-3.5247378E-07,0.30153,0.5,0.6
-3.52473609E-07,0.30154,0.5,0.6
-3.52473531E-07,0.30155,0.5,0.6
-3.52473407E-07,0.30156,0.5,0.6
-3.52473339E-07,0.30157,0.5,0.6
-3.52473258E-07,0.30158,0.5,0.6
-3.5247308E-07,0.30159,0.5,0.6
-3.52472966E-07,0.3016,0.5,0.6
-3.52472838E-07,0.30161,0.5,0.6
-3.52472764E-07,0.30162,0.5,0.6
-3.5247259E-07,0.30163,0.5,0.6
-3.52472462E-07,0.30164,0.5,0.6
-3.52472384E-07,0.30165,0.5,0.6
-3.52472316E-07,0.30166,0.5,0.6
-3.52472167E-07,0.30167,0.5,0.6
-3.52471982E-07,0.30168,0.5,0.6
-3.5247194E-07,0.30169,0.5,0.6
-3.52471876E-07,0.3017,0.5,0.6
-3.52471677E-07,0.30171,0.5,0.6
-3.52471616E-07,0.30172,0.5,0.6
-3.5247151E-07,0.30173,0.5,0.6
-3.52471407E-07,0.30174,0.5,0.6
-3.52471318E-07,0.30175,0.5,0.6
-3.52471112E-07,0.30176,0.5,0.6
-3.52471009E-07,0.30177,0.5,0.6
-3.52470924E-07,0.30178,0.5,0.6
-3.52470863E-07,0.30179,0.5,0.6
-3.52470675E-07,0.3018,0.5,0.6
-3.524706E-07,0.30181,0.5,0.6
-3.52470494E-07,0.30182,0.5,0.6
-3.52470373E-07,0.30183,0.5,0.6
-3.52470234E-07,0.30184,0.5,0.6
-3.52470153E-07,0.30185,0.5,0.6
-3.52470025E-07,0.30186,0.5,0.6
-3.52469904E-07,0.30187,0.5,0.6
-3.52469741E-07,0.30188,0.5,0.6
-3.52469634E-07,0.30189,0.5,0.6
-3.52469531E-07,0.3019,0.5,0.6
-3.5246946E-07,0.30191,0.5,0.6
-3.52469311E-07,0.30192,0.5,0.6
-3.52469186E-07,0.30193,0.5,0.6
-3.52469115E-07,0.30194,0.5,0.6
-3.5246897E-07,0.30195,0.5,0.6
-3.52468842E-07,0.30196,0.5,0.6
-3.52468774E-07,0.30197,0.5,0.6
-3.52468664E-07,0.30198,0.5,0.6
-3.5246855E-07,0.30199,0.5,0.6
-3.52468447E-07,0.302,0.5,0.6
-3.52468248E-07,0.30201,0.5,0.6
-3.52468163E-07,0.30202,0.5,0.6
-3.52468103E-07,0.30203,0.5,0.6
-3.52467989E-07,0.30204,0.5,0.6
-3.52467833E-07,0.30205,0.5,0.6
-3.52467694E-07,0.30206,0.5,0.6
-3.52467612E-07,0.30207,0.5,0.6
-3.52467548E-07,0.30208,0.5,0.6
-3.52467367E-07,0.30209,0.5,0.6
-3.52467271E-07,0.3021,0.5,0.6
-3.52467158E-07,0.30211,0.5,0.6
-3.5246708E-07,0.30212,0.5,0.6
-3.52466923E-07,0.30213,0.5,0.6
-3.52466845E-07,0.30214,0.5,0.6
-3.52466678E-07,0.30215,0.5,0.6
-3.52466557E-07,0.30216,0.5,0.6
-3.52466426E-07,0.30217,0.5,0.6
-3.52466348E-07,0.30218,0.5,0.6
-3.52466227E-07,0.30219,0.5,0.6
-3.52466135E-07,0.3022,0.5,0.6
-3.52466003E-07,0.30221,0.5,0.6
-3.52465875E-07,0.30222,0.5,0.6
-3.52465829E-07,0.30223,0.5,0.6
-3.5246568E-07,0.30224,0.5,0.6
-3.52465548E-07,0.30225,0.5,0.6
-3.52465449E-07,0.30226,0.5,0.6
-3.52465321E-07,0.30227,0.5,0.6
-3.52465268E-07,0.30228,0.5,0.6
-3.5246509E-07,0.30229,0.5,0.6
-3.52464955E-07,0.3023,0.5,0.6
-3.52464902E-07,0.30231,0.5,0.6
-3.52464795E-07,0.30232,0.5,0.6
-3.52464578E-07,0.30233,0.5,0.6
-3.5246455E-07,0.30234,0.5,0.6
-3.52464454E-07,0.30235,0.5,0.6
-3.52464298E-07,0.30236,0.5,0.6
-3.52464188E-07,0.30237,0.5,0.6
-3.52464081E-07,0.30238,0.5,0.6
-3.52463996E-07,0.30239,0.5,0.6
-3.52463928E-07,0.3024,0.5,0.6
-3.52463715E-07,0.30241,0.5,0.6
-3.52463609E-07,0.30242,0.5,0.6
-3.52463513E-07,0.30243,0.5,0.6
-3.52463434E-07,0.30244,0.5,0.6
-3.52463221E-07,0.30245,0.5,0.6
-3.524631E-07,0.30246,0.5,0.6
-3.52463008E-07,0.30247,0.5,0.6
-3.52462887E-07,0.30248,0.5,0.6
-3.52462799E-07,0.30249,0.5,0.6
-3.52462692E-07,0.3025,0.5,0.6
-3.524626E-07,0.30251,0.5,0.6
-3.52462468E-07,0.30252,0.5,0.6
-3.52462255E-07,0.30253,0.5,0.6
-3.5246217E-07,0.30254,0.5,0.6
-3.52462113E-07,0.30255,0.5,0.6
-3.52462049E-07,0.30256,0.5,0.6
-3.52461857E-07,0.30257,0.5,0.6
-3.52461722E-07,0.30258,0.5,0.6
-3.52461679E-07,0.30259,0.5,0.6
-3.52461598E-07,0.3026,0.5,0.6
-3.52461385E-07,0.30261,0.5,0.6
-3.52461303E-07,0.30262,0.5,0.6
-3.5246121E-07,0.30263,0.5,0.6
-3.52461129E-07,0.30264,0.5,0.6
-3.52460983E-07,0.30265,0.5,0.6
-3.5246083E-07,0.30266,0.5,0.6
-3.52460674E-07,0.30267,0.5,0.6
-3.52460706E-07,0.30268,0.5,0.6
-3.52460503E-07,0.30269,0.5,0.6
-3.52460379E-07,0.3027,0.5,0.6
-3.52460216E-07,0.30271,0.5,0.6
-3.52460106E-07,0.30272,0.5,0.6
-3.5246002E-07,0.30273,0.5,0.6
-3.52459963E-07,0.30274,0.5,0.6
-3.52459832E-07,0.30275,0.5,0.6
-3.52459704E-07,0.30276,0.5,0.6
-3.52459608E-07,0.30277,0.5,0.6
-3.52459452E-07,0.30278,0.5,0.6
-3.52459352E-07,0.30279,0.5,0.6
-3.52459217E-07,0.3028,0.5,0.6
-3.52459104E-07,0.30281,0.5,0.6
-3.52459029E-07,0.30282,0.5,0.6
-3.52458873E-07,0.30283,0.5,0.6
-3.52458727E-07,0.30284,0.5,0.6
-3.52458702E-07,0.30285,0.5,0.6
-3.52458553E-07,0.30286,0.5,0.6
-3.52458507E-07,0.30287,0.5,0.6
-3.5245834E-07,0.30288,0.5,0.6
-3.52458159E-07,0.30289,0.5,0.6
-3.52458105E-07,0.3029,0.5,0.6
-3.52457967E-07,0.30291,0.5,0.6
-3.52457821E-07,0.30292,0.5,0.6
-3.52457722E-07,0.30293,0.5,0.6
-3.52457601E-07,0.30294,0.5,0.6
-3.5245754E-07,0.30295,0.5,0.6
-3.52457381E-07,0.30296,0.5,0.6
-3.52457242E-07,0.30297,0.5,0.6
-3.52457192E-07,0.30298,0.5,0.6
-3.52457022E-07,0.30299,0.5,0.6
-3.52456979E-07,0.303,0.5,0.6
-3.52456819E-07,0.30301,0.5,0.6
-3.52456727E-07,0.30302,0.5,0.6
-3.52456599E-07,0.30303,0.5,0.6
-3.52456432E-07,0.30304,0.5,0.6
-3.52456272E-07,0.30305,0.5,0.6
-3.52456269E-07,0.30306,0.5,0.6
-3.52456048E-07,0.30307,0.5,0.6
-3.52455917E-07,0.30308,0.5,0.6
-3.52455896E-07,0.30309,0.5,0.6
-3.52455796E-07,0.3031,0.5,0.6
-3.52455643E-07,0.30311,0.5,0.6
-3.52455526E-07,0.30312,0.5,0.6
-3.52455423E-07,0.30313,0.5,0.6
-3.52455238E-07,0.30314,0.5,0.6
-3.5245516E-07,0.30315,0.5,0.6
-3.52455064E-07,0.30316,0.5,0.6
-3.52454983E-07,0.30317,0.5,0.6
-3.52454798E-07,0.30318,0.5,0.6
-3.52454691E-07,0.30319,0.5,0.6
-3.52454624E-07,0.3032,0.5,0.6
-3.52454542E-07,0.30321,0.5,0.6
-3.52454304E-07,0.30322,0.5,0.6
-3.52454272E-07,0.30323,0.5,0.6
-3.52454126E-07,0.30324,0.5,0.6
-3.5245403E-07,0.30325,0.5,0.6
-3.52453888E-07,0.30326,0.5,0.6
-3.52453792E-07,0.30327,0.5,0.6
-3.52453693E-07,0.30328,0.5,0.6
-3.52453558E-07,0.30329,0.5,0.6
-3.52453426E-07,0.3033,0.5,0.6
-3.52453306E-07,0.30331,0.5,0.6
-3.52453185E-07,0.30332,0.5,0.6
-3.52453064E-07,0.30333,0.5,0.6
-3.52452997E-07,0.30334,0.5,0.6
-3.52452815E-07,0.30335,0.5,0.6
-3.52452783E-07,0.30336,0.5,0.6
-3.52452577E-07,0.30337,0.5,0.6
-3.52452485E-07,0.30338,0.5,0.6
-3.52452389E-07,0.30339,0.5,0.6
-3.52452261E-07,0.3034,0.5,0.6
-3.52452165E-07,0.30341,0.5,0.6
-3.52452027E-07,0.30342,0.5,0.6
-3.52451934E-07,0.30343,0.5,0.6
-3.52451835E-07,0.30344,0.5,0.6
-3.52451632E-07,0.30345,0.5,0.6
-3.52451615E-07,0.30346,0.5,0.6
-3.52451487E-07,0.30347,0.5,0.6
-3.52451316E-07,0.30348,0.5,0.6
-3.52451192E-07,0.30349,0.5,0.6
-3.52451107E-07,0.3035,0.5,0.6
-3.52450972E-07,0.30351,0.5,0.6
-3.52450837E-07,0.30352,0.5,0.6
-3.52450765E-07,0.30353,0.5,0.6
-3.52450662E-07,0.30354,0.5,0.6
-3.52450474E-07,0.30355,0.5,0.6
-3.52450382E-07,0.30356,0.5,0.6
-3.52450229E-07,0.30357,0.5,0.6
-3.5245019E-07,0.30358,0.5,0.6
-3.52450005E-07,0.30359,0.5,0.6
-3.52449945E-07,0.3036,0.5,0.6
-3.5244986E-07,0.30361,0.5,0.6
-3.52449668E-07,0.30362,0.5,0.6
-3.5244959E-07,0.30363,0.5,0.6
-3.5244944E-07,0.30364,0.5,0.6
-3.52449376E-07,0.30365,0.5,0.6
-3.52449195E-07,0.30366,0.5,0.6
-3.52449113E-07,0.30367,0.5,0.6
-3.52449021E-07,0.30368,0.5,0.6
-3.52448886E-07,0.30369,0.5,0.6
-3.5244873E-07,0.3037,0.5,0.6
-3.52448659E-07,0.30371,0.5,0.6
-3.52448502E-07,0.30372,0.5,0.6
-3.52448374E-07,0.30373,0.5,0.6
-3.52448279E-07,0.30374,0.5,0.6
-3.52448215E-07,0.30375,0.5,0.6
-3.52448062E-07,0.30376,0.5,0.6
-3.52447952E-07,0.30377,0.5,0.6
-3.52447866E-07,0.30378,0.5,0.6
-3.52447771E-07,0.30379,0.5,0.6
-3.52447572E-07,0.3038,0.5,0.6
-3.52447476E-07,0.30381,0.5,0.6
-3.52447351E-07,0.30382,0.5,0.6
-3.5244728E-07,0.30383,0.5,0.6
-3.52447096E-07,0.30384,0.5,0.6
-3.52447024E-07,0.30385,0.5,0.6
-3.52446925E-07,0.30386,0.5,0.6
-3.52446754E-07,0.30387,0.5,0.6
-3.52446662E-07,0.30388,0.5,0.6
-3.52446541E-07,0.30389,0.5,0.6
-3.52446442E-07,0.3039,0.5,0.6
-3.52446275E-07,0.30391,0.5,0.6
-3.52446182E-07,0.30392,0.5,0.6
-3.52446087E-07,0.30393,0.5,0.6
-3.5244593E-07,0.30394,0.5,0.6
-3.52445785E-07,0.30395,0.5,0.6
-3.52445699E-07,0.30396,0.5,0.6
-3.52445589E-07,0.30397,0.5,0.6
-3.52445468E-07,0.30398,0.5,0.6
-3.52445365E-07,0.30399,0.5,0.6
-3.52445284E-07,0.304,0.5,0.6
-3.52445131E-07,0.30401,0.5,0.6
-3.52444964E-07,0.30402,0.5,0.6
-3.52444893E-07,0.30403,0.5,0.6
-3.52444804E-07,0.30404,0.5,0.6
-3.52444623E-07,0.30405,0.5,0.6
-3.52444495E-07,0.30406,0.5,0.6
-3.52444481E-07,0.30407,0.5,0.6
-3.52444321E-07,0.30408,0.5,0.6
-3.52444118E-07,0.30409,0.5,0.6
-3.52444097E-07,0.3041,0.5,0.6
-3.52443998E-07,0.30411,0.5,0.6
-3.52443827E-07,0.30412,0.5,0.6
-3.5244366E-07,0.30413,0.5,0.6
-3.52443625E-07,0.30414,0.5,0.6
-3.52443429E-07,0.30415,0.5,0.6
-3.52443312E-07,0.30416,0.5,0.6
-3.52443241E-07,0.30417,0.5,0.6
-3.52443191E-07,0.30418,0.5,0.6
-3.52442981E-07,0.30419,0.5,0.6
-3.52442918E-07,0.3042,0.5,0.6
-3.52442768E-07,0.30421,0.5,0.6
-3.5244263E-07,0.30422,0.5,0.6
-3.52442523E-07,0.30423,0.5,0.6
-3.52442431E-07,0.30424,0.5,0.6
-3.52442353E-07,0.30425,0.5,0.6
-3.52442189E-07,0.30426,0.5,0.6
-3.52442068E-07,0.30427,0.5,0.6
-3.52441951E-07,0.30428,0.5,0.6
-3.52441777E-07,0.30429,0.5,0.6
-3.52441745E-07,0.3043,0.5,0.6
-3.52441628E-07,0.30431,0.5,0.6
-3.52441468E-07,0.30432,0.5,0.6
-3.52441308E-07,0.30433,0.5,0.6
-3.52441223E-07,0.30434,0.5,0.6
-3.52441162E-07,0.30435,0.5,0.6
-3.52440956E-07,0.30436,0.5,0.6
-3.52440882E-07,0.30437,0.5,0.6
-3.524408E-07,0.30438,0.5,0.6
-3.52440672E-07,0.30439,0.5,0.6
-3.52440519E-07,0.3044,0.5,0.6
-3.52440452E-07,0.30441,0.5,0.6
-3.52440342E-07,0.30442,0.5,0.6
-3.52440178E-07,0.30443,0.5,0.6
-3.52440097E-07,0.30444,0.5,0.6
-3.52439969E-07,0.30445,0.5,0.6
-3.52439759E-07,0.30446,0.5,0.6
-3.52439674E-07,0.30447,0.5,0.6
-3.52439638E-07,0.30448,0.5,0.6
-3.52439535E-07,0.30449,0.5,0.6
-3.52439333E-07,0.3045,0.5,0.6
-3.52439322E-07,0.30451,0.5,0.6
-3.52439109E-07,0.30452,0.5,0.6
-3.52438938E-07,0.30453,0.5,0.6
-3.52438946E-07,0.30454,0.5,0.6
-3.52438743E-07,0.30455,0.5,0.6
-3.52438683E-07,0.30456,0.5,0.6
-3.52438544E-07,0.30457,0.5,0.6
-3.52438391E-07,0.30458,0.5,0.6
-3.52438281E-07,0.30459,0.5,0.6
-3.52438182E-07,0.3046,0.5,0.6
-3.52438054E-07,0.30461,0.5,0.6
-3.52437944E-07,0.30462,0.5,0.6
-3.52437741E-07,0.30463,0.5,0.6
-3.52437709E-07,0.30464,0.5,0.6
-3.5243761E-07,0.30465,0.5,0.6
-3.52437475E-07,0.30466,0.5,0.6
-3.52437368E-07,0.30467,0.5,0.6
-3.52437215E-07,0.30468,0.5,0.6
-3.52437141E-07,0.30469,0.5,0.6
-3.52436938E-07,0.3047,0.5,0.6
-3.52436885E-07,0.30471,0.5,0.6
-3.52436761E-07,0.30472,0.5,0.6
-3.5243653E-07,0.30473,0.5,0.6
-3.52436533E-07,0.30474,0.5,0.6
-3.52436395E-07,0.30475,0.5,0.6
-3.52436309E-07,0.30476,0.5,0.6
-3.5243615E-07,0.30477,0.5,0.6
-3.52436022E-07,0.30478,0.5,0.6
-3.52435901E-07,0.30479,0.5,0.6
-3.52435713E-07,0.3048,0.5,0.6
-3.52435702E-07,0.30481,0.5,0.6
-3.52435595E-07,0.30482,0.5,0.6
-3.52435428E-07,0.30483,0.5,0.6
-3.52435311E-07,0.30484,0.5,0.6
-3.52435155E-07,0.30485,0.5,0.6
-3.52435087E-07,0.30486,0.5,0.6
-3.5243491E-07,0.30487,0.5,0.6
-3.52434828E-07,0.30488,0.5,0.6
-3.52434739E-07,0.30489,0.5,0.6
-3.52434583E-07,0.3049,0.5,0.6
-3.5243448E-07,0.30491,0.5,0.6
-3.52434387E-07,0.30492,0.5,0.6
-3.52434206E-07,0.30493,0.5,0.6
-3.52434135E-07,0.30494,0.5,0.6
-3.52434046E-07,0.30495,0.5,0.6
-3.52433904E-07,0.30496,0.5,0.6
-3.52433744E-07,0.30497,0.5,0.6
-3.52433634E-07,0.30498,0.5,0.6
-3.52433538E-07,0.30499,0.5,0.6
-3.5243341E-07,0.305,0.5,0.6
-3.52433322E-07,0.30501,0.5,0.6
-3.5243318E-07,0.30502,0.5,0.6
-3.52433016E-07,0.30503,0.5,0.6
-3.52432952E-07,0.30504,0.5,0.6
-3.52432874E-07,0.30505,0.5,0.6
-3.52432668E-07,0.30506,0.5,0.6
-3.524326E-07,0.30507,0.5,0.6
-3.5243248E-07,0.30508,0.5,0.6
-3.52432352E-07,0.30509,0.5,0.6
-3.52432199E-07,0.3051,0.5,0.6
-3.52432103E-07,0.30511,0.5,0.6
-3.52431972E-07,0.30512,0.5,0.6
-3.5243189E-07,0.30513,0.5,0.6
-3.52431769E-07,0.30514,0.5,0.6
-3.52431606E-07,0.30515,0.5,0.6
-3.52431513E-07,0.30516,0.5,0.6
-3.52431336E-07,0.30517,0.5,0.6
-3.52431282E-07,0.30518,0.5,0.6
-3.52431119E-07,0.30519,0.5,0.6
-3.5243103E-07,0.3052,0.5,0.6
-3.52430938E-07,0.30521,0.5,0.6
-3.52430845E-07,0.30522,0.5,0.6
-3.52430629E-07,0.30523,0.5,0.6
-3.524306E-07,0.30524,0.5,0.6
-3.52430469E-07,0.30525,0.5,0.6
-3.52430256E-07,0.30526,0.5,0.6
-3.52430174E-07,0.30527,0.5,0.6
-3.52430071E-07,0.30528,0.5,0.6
-3.52429936E-07,0.30529,0.5,0.6
-3.52429804E-07,0.3053,0.5,0.6
-3.5242978E-07,0.30531,0.5,0.6
-3.52429545E-07,0.30532,0.5,0.6
-3.52429485E-07,0.30533,0.5,0.6
-3.52429343E-07,0.30534,0.5,0.6
-3.52429296E-07,0.30535,0.5,0.6
-3.52429026E-07,0.30536,0.5,0.6
-3.52429009E-07,0.30537,0.5,0.6
-3.52428891E-07,0.30538,0.5,0.6
-3.52428732E-07,0.30539,0.5,0.6
-3.52428582E-07,0.3054,0.5,0.6
-3.52428518E-07,0.30541,0.5,0.6
-3.52428387E-07,0.30542,0.5,0.6
-3.5242828E-07,0.30543,0.5,0.6
-3.52428181E-07,0.30544,0.5,0.6
-3.52427996E-07,0.30545,0.5,0.6
-3.52427836E-07,0.30546,0.5,0.6
-3.52427804E-07,0.30547,0.5,0.6
-3.52427641E-07,0.30548,0.5,0.6
-3.52427481E-07,0.30549,0.5,0.6
-3.5242747E-07,0.3055,0.5,0.6
-3.52427246E-07,0.30551,0.5,0.6
-3.52427115E-07,0.30552,0.5,0.6
-3.5242709E-07,0.30553,0.5,0.6
-3.52426927E-07,0.30554,0.5,0.6
-3.52426799E-07,0.30555,0.5,0.6
-3.52426738E-07,0.30556,0.5,0.6
-3.52426653E-07,0.30557,0.5,0.6
-3.52426433E-07,0.30558,0.5,0.6
-3.52426362E-07,0.30559,0.5,0.6
-3.52426188E-07,0.3056,0.5,0.6
-3.52426046E-07,0.30561,0.5,0.6
-3.52425989E-07,0.30562,0.5,0.6
-3.52425864E-07,0.30563,0.5,0.6
-3.52425715E-07,0.30564,0.5,0.6
-3.52425637E-07,0.30565,0.5,0.6
-3.52425516E-07,0.30566,0.5,0.6
-3.5242536E-07,0.30567,0.5,0.6
-3.52425317E-07,0.30568,0.5,0.6
-3.52425175E-07,0.30569,0.5,0.6
-3.52424998E-07,0.3057,0.5,0.6
-3.52424856E-07,0.30571,0.5,0.6
-3.52424749E-07,0.30572,0.5,0.6
-3.52424689E-07,0.30573,0.5,0.6
-3.52424536E-07,0.30574,0.5,0.6
-3.52424433E-07,0.30575,0.5,0.6
-3.52424276E-07,0.30576,0.5,0.6
-3.52424152E-07,0.30577,0.5,0.6
-3.52424017E-07,0.30578,0.5,0.6
-3.5242395E-07,0.30579,0.5,0.6
-3.52423832E-07,0.3058,0.5,0.6
-3.52423683E-07,0.30581,0.5,0.6
-3.52423559E-07,0.30582,0.5,0.6
-3.52423442E-07,0.30583,0.5,0.6
-3.52423307E-07,0.30584,0.5,0.6
-3.52423296E-07,0.30585,0.5,0.6
-3.52423083E-07,0.30586,0.5,0.6
-3.52423037E-07,0.30587,0.5,0.6
-3.52422838E-07,0.30588,0.5,0.6
-3.52422717E-07,0.30589,0.5,0.6
-3.5242261E-07,0.3059,0.5,0.6
-3.52422489E-07,0.30591,0.5,0.6
-3.52422294E-07,0.30592,0.5,0.6
-3.52422219E-07,0.30593,0.5,0.6
-3.52422141E-07,0.30594,0.5,0.6
-3.52421996E-07,0.30595,0.5,0.6
-3.52421846E-07,0.30596,0.5,0.6
-3.5242175E-07,0.30597,0.5,0.6
-3.5242158E-07,0.30598,0.5,0.6
-3.52421523E-07,0.30599,0.5,0.6
-3.52421381E-07,0.306,0.5,0.6
-3.52421235E-07,0.30601,0.5,0.6
-3.52421171E-07,0.30602,0.5,0.6
-3.52421083E-07,0.30603,0.5,0.6
-3.52420876E-07,0.30604,0.5,0.6
-3.52420805E-07,0.30605,0.5,0.6
-3.52420685E-07,0.30606,0.5,0.6
