Iout,V1,V2,Vout
-3.66564436E-07,0.30138,0.5,0.9
-3.66564265E-07,0.30139,0.5,0.9
-3.66564137E-07,0.3014,0.5,0.9
-3.66564123E-07,0.30141,0.5,0.9
-3.66563945E-07,0.30142,0.5,0.9
-3.6656381E-07,0.30143,0.5,0.9
-3.66563683E-07,0.30144,0.5,0.9
-3.66563611E-07,0.30145,0.5,0.9
-3.66563505E-07,0.30146,0.5,0.9
-3.66563413E-07,0.30147,0.5,0.9
-3.66563228E-07,0.30148,0.5,0.9
-3.66563114E-07,0.30149,0.5,0.9
-3.66563036E-07,0.3015,0.5,0.9
-3.66562944E-07,0.30151,0.5,0.9
-3.66562759E-07,0.30152,0.5,0.9
-3.66562595E-07,0.30153,0.5,0.9
-3.6656256E-07,0.30154,0.5,0.9
-3.6656246E-07,0.30155,0.5,0.9
-3.66562297E-07,0.30156,0.5,0.9
-3.66562148E-07,0.30157,0.5,0.9
-3.66562027E-07,0.30158,0.5,0.9
-3.66561977E-07,0.30159,0.5,0.9
-3.66561842E-07,0.3016,0.5,0.9
-3.66561686E-07,0.30161,0.5,0.9
-3.66561572E-07,0.30162,0.5,0.9
-3.6656153E-07,0.30163,0.5,0.9
-3.66561345E-07,0.30164,0.5,0.9
-3.66561224E-07,0.30165,0.5,0.9
-3.6656111E-07,0.30166,0.5,0.9
-3.66560997E-07,0.30167,0.5,0.9
-3.66560911E-07,0.30168,0.5,0.9
-3.66560805E-07,0.30169,0.5,0.9
-3.66560649E-07,0.3017,0.5,0.9
-3.66560528E-07,0.30171,0.5,0.9
-3.66560428E-07,0.30172,0.5,0.9
-3.665603E-07,0.30173,0.5,0.9
-3.66560194E-07,0.30174,0.5,0.9
-3.66560023E-07,0.30175,0.5,0.9
-3.66559924E-07,0.30176,0.5,0.9
-3.66559917E-07,0.30177,0.5,0.9
-3.66559718E-07,0.30178,0.5,0.9
-3.66559611E-07,0.30179,0.5,0.9
-3.66559462E-07,0.3018,0.5,0.9
-3.6655937E-07,0.30181,0.5,0.9
-3.66559171E-07,0.30182,0.5,0.9
-3.66559121E-07,0.30183,0.5,0.9
-3.66559028E-07,0.30184,0.5,0.9
-3.66558965E-07,0.30185,0.5,0.9
-3.66558758E-07,0.30186,0.5,0.9
-3.66558574E-07,0.30187,0.5,0.9
-3.66558503E-07,0.30188,0.5,0.9
